Timestamp,LatencyMs,Type
1764185721.503957,0.053406,Value
1764185721.503964,0.035763,Range
1764185721.503972,0.029564,Range
1764185721.509007,0.099421,Range
1764185721.509015,0.077724,Range
1764185721.509024,0.064611,Range
1764185721.509031,0.047445,Range
1764185721.509035,0.039577,Value
1764185721.513957,0.066757,Value
1764185721.513961,0.054359,Value
1764185721.513964,0.036716,Value
1764185721.513970,0.024319,Range
1764185721.513974,0.024557,Value
1764185721.519026,0.089407,Value
1764185721.519035,0.072479,Value
1764185721.519038,0.065327,Value
1764185721.519051,0.057697,Range
1764185721.519066,0.058889,Range
1764185721.524024,0.097990,Value
1764185721.524032,0.085115,Range
1764185721.524037,0.084400,Value
1764185721.524042,0.052929,Range
1764185721.524047,0.030041,Range
1764185721.529031,0.071764,Range
1764185721.529037,0.064850,Value
1764185721.529041,0.047207,Value
1764185721.529044,0.041962,Value
1764185721.529048,0.026464,Value
1764185721.534037,0.096321,Value
1764185721.534056,0.093699,Range
1764185721.534065,0.083685,Range
1764185721.534075,0.056744,Range
1764185721.534080,0.054598,Value
1764185721.539080,0.096560,Value
1764185721.539092,0.096560,Value
1764185721.539108,0.086784,Range
1764185721.539126,0.073910,Range
1764185721.539134,0.061989,Range
1764185721.544110,0.123501,Range
1764185721.544118,0.109911,Range
1764185721.544127,0.096321,Range
1764185721.544132,0.073195,Range
1764185721.544137,0.067234,Value
1764185721.549086,0.088692,Range
1764185721.549092,0.086069,Value
1764185721.549100,0.061512,Range
1764185721.549107,0.059605,Range
1764185721.549113,0.042677,Range
1764185721.554101,0.070572,Range
1764185721.554105,0.070333,Value
1764185721.554113,0.052214,Range
1764185721.554118,0.043631,Value
1764185721.554121,0.029802,Value
1764185721.559088,0.051498,Range
1764185721.559093,0.047684,Value
1764185721.559097,0.043392,Value
1764185721.559100,0.037432,Value
1764185721.559111,0.035524,Range
1764185721.564131,0.111580,Value
1764185721.564138,0.097036,Range
1764185721.564146,0.078201,Range
1764185721.564152,0.060081,Range
1764185721.564158,0.030041,Range
1764185721.569118,0.064135,Range
1764185721.569123,0.059366,Value
