Timestamp,LatencyMs,Type,PTreeReleased,PTreeAllocated
1764625868.480211,0.078917,Value,0,1248
1764625868.480246,0.098944,Range,0,1248
1764625868.480257,0.094414,Range,0,1248
1764625868.480264,0.097752,Value,0,1248
1764625868.480276,0.103474,Range,0,1248
1764625868.480284,0.067472,Range,0,1248
1764625868.480288,0.039816,Value,0,1248
1764625868.480291,0.032663,Value,0,1248
1764625868.480295,0.027895,Range,0,1248
1764625868.480299,0.020742,Value,0,1248
1764625868.490210,0.047922,Value,1920,4896
1764625868.490231,0.055075,Range,1920,4896
1764625868.490240,0.056028,Range,1920,4896
1764625868.490247,0.058174,Range,1920,4896
1764625868.490251,0.057459,Range,1920,4896
1764625868.500189,0.020027,Value,2784,8160
1764625868.500193,0.018835,Value,2784,8160
1764625868.500197,0.019312,Value,2784,8160
1764625868.500199,0.019550,Value,2784,8160
1764625868.500202,0.019550,Value,2784,8160
1764625868.510214,0.031233,Value,4224,11808
1764625868.510231,0.038862,Range,4224,11808
1764625868.510238,0.039101,Range,4224,11808
1764625868.510245,0.041485,Range,4224,11808
1764625868.510251,0.043392,Range,4224,11808
1764625868.520373,0.089645,Range,4320,13920
1764625868.520391,0.090361,Range,4320,13920
1764625868.520403,0.096083,Value,4320,13920
1764625868.520412,0.089884,Range,4320,13920
1764625868.520420,0.082731,Range,4320,13920
1764625868.530351,0.065088,Range,4896,18144
1764625868.530367,0.069141,Value,4896,18144
1764625868.530377,0.070572,Range,4896,18144
1764625868.530383,0.072241,Range,4896,18144
1764625868.530387,0.071764,Value,4896,18144
1764625868.540349,0.053167,Range,5280,22464
1764625868.540361,0.056744,Value,5280,22464
1764625868.540369,0.056982,Range,5280,22464
1764625868.540373,0.058174,Value,5280,22464
1764625868.540381,0.060797,Range,5280,22464
1764625868.550325,0.026226,Value,5568,27072
1764625868.550351,0.046730,Range,5568,27072
1764625868.550357,0.048399,Range,5568,27072
1764625868.550369,0.057220,Range,5568,27072
1764625868.550376,0.057936,Range,5568,27072
1764625868.560344,0.036240,Value,5952,30624
1764625868.560364,0.046730,Range,5952,30624
1764625868.560369,0.046730,Value,5952,30624
1764625868.560373,0.046253,Value,5952,30624
1764625868.560376,0.046253,Value,5952,30624
1764625868.570343,0.027895,Range,6432,35232
1764625868.570354,0.033140,Range,6432,35232
1764625868.570359,0.035763,Value,6432,35232
1764625868.570367,0.039101,Range,6432,35232
1764625868.570370,0.036240,Value,6432,35232
1764625868.580349,0.025749,Range,8448,40800
1764625868.580356,0.027657,Value,8448,40800
1764625868.580364,0.031233,Range,8448,40800
1764625868.580369,0.034094,Value,8448,40800
1764625868.580379,0.039577,Range,8448,40800
1764625868.590394,0.056267,Range,9024,46176
1764625868.590405,0.058174,Range,9024,46176
1764625868.590412,0.062943,Value,9024,46176
1764625868.590420,0.065327,Range,9024,46176
1764625868.590424,0.064135,Value,9024,46176
1764625868.600379,0.030518,Range,9120,50784
1764625868.600401,0.047207,Range,9120,50784
1764625868.600408,0.049591,Range,9120,50784
1764625868.600430,0.066042,Range,9120,50784
1764625868.600444,0.075579,Range,9120,50784
1764625868.610390,0.033617,Value,9216,53376
1764625868.610396,0.032425,Value,9216,53376
1764625868.610404,0.035524,Range,9216,53376
1764625868.610412,0.038624,Range,9216,53376
1764625868.610416,0.037909,Range,9216,53376
1764625868.620409,0.039577,Value,9504,56448
1764625868.620416,0.037670,Value,9504,56448
1764625868.620419,0.036716,Value,9504,56448
1764625868.620421,0.034571,Value,9504,56448
1764625868.620430,0.038624,Range,9504,56448
1764625868.630420,0.039816,Value,10368,63360
1764625868.630428,0.042915,Value,10368,63360
1764625868.630435,0.045538,Range,10368,63360
1764625868.630446,0.043392,Range,10368,63360
1764625868.630454,0.041485,Range,10368,63360
1764625868.640428,0.036716,Range,10464,67104
1764625868.640436,0.039339,Value,10464,67104
1764625868.640439,0.038862,Value,10464,67104
1764625868.640442,0.038624,Value,10464,67104
1764625868.640445,0.033617,Value,10464,67104
1764625868.650429,0.024796,Value,10848,68832
1764625868.650440,0.027657,Range,10848,68832
1764625868.650444,0.026703,Value,10848,68832
1764625868.650447,0.026464,Value,10848,68832
1764625868.650450,0.027180,Value,10848,68832
1764625868.660492,0.076056,Range,10944,73056
1764625868.660523,0.094891,Range,10944,73056
1764625868.660534,0.101566,Range,10944,73056
1764625868.660539,0.101328,Value,10944,73056
1764625868.660542,0.098228,Value,10944,73056
1764625868.670454,0.027657,Range,11712,79296
1764625868.670463,0.030756,Value,11712,79296
1764625868.670471,0.033617,Range,11712,79296
1764625868.670474,0.035048,Value,11712,79296
1764625868.670477,0.035763,Value,11712,79296
1764625868.680452,0.017166,Value,11712,80256
1764625868.680455,0.017166,Value,11712,80256
1764625868.680459,0.017643,Value,11712,80256
1764625868.680462,0.018120,Value,11712,80256
1764625868.680503,0.055790,Range,11712,80256
1764625868.690475,0.027895,Value,11904,85248
1764625868.690484,0.030756,Range,11904,85248
1764625868.690488,0.030994,Value,11904,85248
1764625868.690498,0.036955,Range,11904,85248
1764625868.690505,0.039577,Range,11904,85248
1764625868.700506,0.047207,Range,11904,87072
1764625868.700517,0.051260,Range,11904,87072
1764625868.700521,0.052214,Value,11904,87072
1764625868.700532,0.056982,Range,11904,87072
1764625868.700547,0.067234,Range,11904,87072
1764625868.710502,0.031471,Range,12000,93312
1764625868.710517,0.040770,Range,12000,93312
1764625868.710528,0.046730,Range,12000,93312
1764625868.710535,0.049829,Range,12000,93312
1764625868.710541,0.051975,Value,12000,93312
1764625868.720513,0.033140,Value,12000,97152
1764625868.720526,0.037432,Value,12000,97152
1764625868.720530,0.036955,Value,12000,97152
1764625868.720533,0.036478,Value,12000,97152
1764625868.720541,0.040293,Value,12000,97152
1764625868.730536,0.045776,Range,12288,101280
1764625868.730548,0.050306,Range,12288,101280
1764625868.730568,0.065327,Range,12288,101280
1764625868.730579,0.070810,Range,12288,101280
1764625868.730584,0.069857,Value,12288,101280
1764625868.749573,0.102043,Range,12864,106752
1764625868.749595,0.108242,Value,12864,106752
1764625868.749602,0.105619,Value,12864,106752
1764625868.749624,0.119209,Range,12864,106752
1764625868.749639,0.124216,Range,12864,106752
1764625868.759547,0.055790,Range,13344,114720
1764625868.759577,0.070095,Range,13344,114720
1764625868.759587,0.073910,Range,13344,114720
1764625868.759641,0.015974,Value,13344,114720
1764625868.759657,0.024080,Range,13344,114720
1764625868.769382,0.031710,Range,13344,115680
1764625868.769392,0.034094,Value,13344,115680
1764625868.769408,0.041246,Range,13344,115680
1764625868.769656,0.017405,Range,13344,115680
1764625868.769664,0.020981,Value,13344,115680
1764625868.779477,0.048876,Range,14688,119232
1764625868.779486,0.050068,Value,14688,119232
1764625868.779502,0.058651,Range,14688,119232
1764625868.779656,0.008106,Value,14688,119232
1764625868.779660,0.008345,Value,14688,119232
