Timestamp,LatencyMs,Type
1764106185.152853,0.118494,Range
1764106185.152867,0.105143,Range
1764106185.152881,0.111580,Value
1764106185.152900,0.103951,Range
1764106185.152927,0.123978,Value
1764106185.152936,0.080824,Value
1764106185.152946,0.072718,Value
1764106185.152962,0.072718,Range
1764106185.152977,0.054359,Range
1764106185.152997,0.064135,Value
1764106185.153011,0.067949,Value
1764106185.153027,0.072718,Value
1764106185.153046,0.074863,Value
1764106185.153065,0.078201,Value
1764106185.153074,0.065804,Value
1764106185.153090,0.066042,Range
1764106185.153108,0.065327,Range
1764106185.153123,0.063419,Range
1764106185.153136,0.066280,Value
1764106185.153149,0.070333,Value
1764106185.153169,0.068188,Range
1764106185.153184,0.065804,Range
1764106185.153205,0.071526,Range
1764106185.153227,0.080109,Value
1764106185.153253,0.090361,Range
1764106185.153272,0.092745,Value
1764106185.153286,0.091314,Value
1764106185.153295,0.073433,Range
1764106185.153310,0.067711,Range
1764106185.153327,0.058174,Range
1764106185.153341,0.058174,Value
1764106185.153350,0.060797,Value
1764106185.153363,0.057697,Value
1764106185.153372,0.053167,Value
1764106185.153389,0.052214,Range
1764106185.153400,0.052691,Range
1764106185.153413,0.052691,Value
1764106185.153418,0.049353,Value
1764106185.153425,0.042677,Value
1764106185.153438,0.045776,Value
1764106185.153454,0.045538,Value
1764106185.153464,0.048399,Value
1764106185.153475,0.053883,Value
1764106185.153493,0.057459,Value
1764106185.153508,0.057459,Range
1764106185.153527,0.066519,Range
1764106185.153538,0.065565,Value
1764106185.153554,0.065088,Range
1764106185.153569,0.072956,Value
1764106185.153578,0.058174,Value
1764106185.153589,0.054836,Value
1764106185.153601,0.054598,Value
1764106185.153621,0.056028,Value
1764106185.153636,0.061274,Value
1764106185.153649,0.063181,Value
1764106185.153667,0.068665,Range
1764106185.153678,0.060081,Range
1764106185.153703,0.070095,Range
1764106185.153721,0.075102,Value
1764106185.153740,0.081301,Range
1764106185.153763,0.092506,Value
1764106185.153781,0.094652,Value
1764106185.153793,0.075340,Range
1764106185.153811,0.077486,Range
1764106185.153827,0.068903,Range
1764106185.153844,0.066519,Range
1764106185.153851,0.064373,Value
1764106185.153862,0.057459,Range
1764106185.153875,0.055313,Range
1764106185.153886,0.046730,Range
1764106185.153893,0.045776,Value
1764106185.153911,0.053644,Range
1764106185.153924,0.056982,Value
1764106185.153932,0.050783,Value
1764106185.153943,0.053167,Value
1764106185.153960,0.053644,Range
1764106185.153963,0.043392,Value
1764106185.153966,0.036955,Value
1764106185.153986,0.046492,Range
1764106185.153991,0.038147,Range
1764106185.158895,0.074387,Range
1764106185.158908,0.074148,Value
1764106185.158917,0.063419,Range
1764106185.158921,0.059366,Value
1764106185.158923,0.053167,Value
1764106185.163866,0.068903,Value
1764106185.163883,0.065565,Range
1764106185.163888,0.061035,Value
1764106185.163900,0.060797,Range
1764106185.163908,0.046492,Range
1764106185.168873,0.063658,Value
1764106185.168884,0.053167,Range
1764106185.168889,0.046015,Value
1764106185.168892,0.039339,Value
1764106185.168899,0.031948,Range
1764106185.173887,0.061274,Range
1764106185.173901,0.064135,Range
1764106185.173911,0.063181,Range
1764106185.173920,0.059843,Range
1764106185.173926,0.059366,Value
1764106185.178892,0.061512,Value
1764106185.178899,0.055313,Value
1764106185.178914,0.053644,Range
1764106185.178923,0.048161,Range
1764106185.178927,0.041246,Value
1764106185.183903,0.056267,Value
1764106185.183911,0.051022,Value
1764106185.183915,0.042200,Value
1764106185.183918,0.036478,Value
1764106185.183921,0.027895,Value
1764106185.188909,0.059366,Range
1764106185.188914,0.050306,Value
1764106185.188933,0.057220,Range
1764106185.188936,0.049353,Value
1764106185.188939,0.040054,Value
1764106185.193926,0.065327,Value
1764106185.193931,0.059605,Value
1764106185.193934,0.053406,Value
1764106185.193945,0.049591,Range
1764106185.193962,0.049829,Range
1764106185.198919,0.050783,Value
1764106185.198922,0.040054,Value
1764106185.198931,0.033379,Range
1764106185.198934,0.024796,Value
1764106185.198937,0.022411,Value
1764106185.203965,0.076771,Range
1764106185.203972,0.070095,Value
1764106185.203983,0.063658,Range
1764106185.204000,0.061512,Range
1764106185.204011,0.056267,Range
1764106185.208972,0.076294,Value
1764106185.208989,0.077486,Range
1764106185.209005,0.077724,Range
1764106185.209011,0.065565,Range
1764106185.209019,0.052929,Range
1764106185.213950,0.054121,Value
1764106185.213994,0.081062,Range
1764106185.213998,0.074625,Value
1764106185.214010,0.074387,Range
1764106185.214014,0.070572,Value
