Timestamp,LatencyMs,Type,PTreeReleased,PTreeAllocated
1764627174.238793,0.101089,Range,480,1632
1764627174.238820,0.109434,Value,480,1632
1764627174.238829,0.106096,Value,480,1632
1764627174.238841,0.111341,Range,480,1632
1764627174.238854,0.118017,Range,480,1632
1764627174.238864,0.067472,Range,480,1632
1764627174.238871,0.048161,Value,480,1632
1764627174.238874,0.042677,Value,480,1632
1764627174.238878,0.033617,Range,480,1632
1764627174.238883,0.025511,Range,480,1632
1764627174.248769,0.063896,Value,480,2208
1764627174.248788,0.062704,Range,480,2208
1764627174.248793,0.058174,Value,480,2208
1764627174.248801,0.058651,Range,480,2208
1764627174.248805,0.056982,Value,480,2208
1764627174.258747,0.035763,Range,672,3552
1764627174.258754,0.034809,Range,672,3552
1764627174.258762,0.037670,Range,672,3552
1764627174.258766,0.038147,Value,672,3552
1764627174.258772,0.037193,Range,672,3552
1764627174.268769,0.041723,Range,1248,6816
1764627174.268779,0.043392,Value,1248,6816
1764627174.268782,0.041008,Value,1248,6816
1764627174.268787,0.040054,Range,1248,6816
1764627174.268790,0.040054,Value,1248,6816
1764627174.278768,0.032663,Value,2016,9984
1764627174.278781,0.035524,Range,2016,9984
1764627174.278785,0.034571,Value,2016,9984
1764627174.278792,0.036001,Range,2016,9984
1764627174.278795,0.035763,Value,2016,9984
1764627174.288781,0.039816,Value,3072,15456
1764627174.288795,0.045776,Range,3072,15456
1764627174.288800,0.046492,Value,3072,15456
1764627174.288807,0.049114,Range,3072,15456
1764627174.288817,0.053644,Range,3072,15456
1764627174.298799,0.046730,Range,3648,19776
1764627174.298806,0.044823,Value,3648,19776
1764627174.298813,0.045300,Range,3648,19776
1764627174.298819,0.045538,Range,3648,19776
1764627174.298822,0.045538,Value,3648,19776
1764627174.308783,0.028372,Value,3648,22272
1764627174.308793,0.031948,Range,3648,22272
1764627174.308797,0.031710,Range,3648,22272
1764627174.308800,0.031710,Value,3648,22272
1764627174.308806,0.028610,Range,3648,22272
1764627174.318784,0.019550,Value,3936,28224
1764627174.318787,0.018358,Value,3936,28224
1764627174.318794,0.023365,Value,3936,28224
1764627174.318797,0.023603,Value,3936,28224
1764627174.318799,0.022888,Value,3936,28224
1764627174.328851,0.072241,Range,4128,32640
1764627174.328865,0.074148,Range,4128,32640
1764627174.328875,0.077963,Range,4128,32640
1764627174.328885,0.079393,Range,4128,32640
1764627174.328891,0.079632,Value,4128,32640
1764627174.338814,0.027418,Value,4128,32928
1764627174.338822,0.025749,Range,4128,32928
1764627174.338861,0.058651,Range,4128,32928
1764627174.338869,0.063896,Value,4128,32928
1764627174.338872,0.064373,Value,4128,32928
1764627174.348811,0.016689,Value,4320,35712
1764627174.348817,0.018358,Value,4320,35712
1764627174.348820,0.018597,Value,4320,35712
1764627174.348823,0.018597,Value,4320,35712
1764627174.348826,0.018835,Value,4320,35712
1764627174.358836,0.029325,Value,4416,36864
1764627174.358841,0.029325,Value,4416,36864
1764627174.358843,0.028372,Value,4416,36864
1764627174.358846,0.028610,Value,4416,36864
1764627174.358857,0.034809,Range,4416,36864
1764627174.368845,0.027180,Range,6048,42528
1764627174.368851,0.028133,Value,6048,42528
1764627174.368854,0.027657,Value,6048,42528
1764627174.368856,0.026941,Value,6048,42528
1764627174.368875,0.042439,Range,6048,42528
1764627174.378846,0.019312,Value,6048,45408
1764627174.378849,0.017881,Value,6048,45408
1764627174.378852,0.016928,Value,6048,45408
1764627174.378860,0.021219,Range,6048,45408
1764627174.378866,0.022888,Value,6048,45408
1764627174.388899,0.059366,Value,6432,47232
1764627174.388956,0.100374,Range,6432,47232
1764627174.388962,0.098228,Value,6432,47232
1764627174.388984,0.101328,Range,6432,47232
1764627174.388987,0.100136,Value,6432,47232
1764627174.398877,0.027895,Range,6720,52320
1764627174.398883,0.028849,Value,6720,52320
1764627174.398910,0.050306,Range,6720,52320
1764627174.398915,0.052214,Value,6720,52320
1764627174.398917,0.051975,Value,6720,52320
1764627174.408895,0.035524,Range,6816,56448
1764627174.408911,0.046015,Range,6816,56448
1764627174.408915,0.046968,Value,6816,56448
1764627174.408921,0.049114,Value,6816,56448
1764627174.408925,0.045300,Range,6816,56448
1764627174.418937,0.065327,Range,6816,57888
1764627174.418953,0.070810,Range,6816,57888
1764627174.418959,0.070333,Value,6816,57888
1764627174.418972,0.075102,Range,6816,57888
1764627174.418977,0.075340,Value,6816,57888
1764627174.428901,0.024080,Value,7392,62400
1764627174.428905,0.023365,Value,7392,62400
1764627174.428913,0.027418,Range,7392,62400
1764627174.428917,0.028133,Value,7392,62400
1764627174.428925,0.031948,Range,7392,62400
1764627174.438908,0.022173,Value,7968,67296
1764627174.438913,0.021696,Range,7968,67296
1764627174.438916,0.021219,Value,7968,67296
1764627174.438918,0.018835,Value,7968,67296
1764627174.438921,0.018358,Value,7968,67296
1764627174.448927,0.028849,Range,7968,68736
1764627174.448936,0.032187,Value,7968,68736
1764627174.448939,0.031948,Value,7968,68736
1764627174.448942,0.029802,Range,7968,68736
1764627174.448976,0.055075,Range,7968,68736
1764627174.458948,0.039816,Range,8160,71904
1764627174.458956,0.042915,Range,8160,71904
1764627174.458976,0.058413,Range,8160,71904
1764627174.458981,0.061512,Value,8160,71904
1764627174.458985,0.059605,Value,8160,71904
1764627174.468941,0.025749,Value,8352,75552
1764627174.468945,0.025272,Value,8352,75552
1764627174.468963,0.038862,Range,8352,75552
1764627174.468971,0.040293,Range,8352,75552
1764627174.468982,0.047445,Range,8352,75552
1764627174.478952,0.025511,Range,8352,77952
1764627174.478956,0.026226,Value,8352,77952
1764627174.478973,0.037193,Range,8352,77952
1764627174.478983,0.042915,Range,8352,77952
1764627174.478992,0.048399,Range,8352,77952
1764627174.488953,0.019550,Value,8544,79680
1764627174.488958,0.020504,Value,8544,79680
1764627174.488960,0.020266,Value,8544,79680
1764627174.488971,0.026464,Range,8544,79680
1764627174.488975,0.026464,Value,8544,79680
1764627174.498991,0.043392,Range,9600,84960
1764627174.498996,0.044107,Value,9600,84960
1764627174.499000,0.042439,Value,9600,84960
1764627174.499032,0.070572,Range,9600,84960
1764627174.499050,0.084877,Range,9600,84960
1764627174.508993,0.036001,Range,10080,87168
1764627174.509001,0.038862,Value,10080,87168
1764627174.509004,0.038147,Value,10080,87168
1764627174.509006,0.037432,Value,10080,87168
1764627174.509009,0.037193,Value,10080,87168
1764627174.519004,0.036478,Range,11040,92832
1764627174.519010,0.038624,Value,11040,92832
1764627174.519017,0.041723,Range,11040,92832
1764627174.519032,0.051260,Range,11040,92832
1764627174.519037,0.052691,Range,11040,92832
1764627174.528994,0.017405,Value,11040,93312
1764627174.528997,0.016928,Value,11040,93312
1764627174.529000,0.016689,Value,11040,93312
1764627174.529004,0.019073,Value,11040,93312
1764627174.529019,0.029087,Range,11040,93312
1764627174.539014,0.027180,Range,11136,95136
1764627174.539020,0.029802,Value,11136,95136
1764627174.539022,0.029325,Value,11136,95136
1764627174.539026,0.029564,Value,11136,95136
1764627174.539028,0.029325,Value,11136,95136
1764627174.549017,0.023127,Value,11424,97056
1764627174.549053,0.052214,Range,11424,97056
1764627174.549063,0.057459,Range,11424,97056
1764627174.549077,0.066996,Range,11424,97056
1764627174.549082,0.068665,Value,11424,97056
1764627174.559044,0.037909,Range,12192,103008
1764627174.559050,0.039816,Value,12192,103008
1764627174.559055,0.040531,Range,12192,103008
1764627174.559063,0.041962,Range,12192,103008
1764627174.559076,0.051022,Range,12192,103008
1764627174.569073,0.056505,Range,12768,107520
1764627174.569078,0.056028,Range,12768,107520
1764627174.569082,0.057697,Value,12768,107520
1764627174.569088,0.058174,Range,12768,107520
1764627174.569094,0.055790,Range,12768,107520
1764627174.579047,0.019789,Value,13632,111744
1764627174.579051,0.018358,Value,13632,111744
1764627174.579054,0.018835,Value,13632,111744
1764627174.579091,0.051498,Range,13632,111744
1764627174.579103,0.059366,Range,13632,111744
1764627174.589073,0.033617,Range,14688,116928
1764627174.589079,0.035524,Value,14688,116928
1764627174.589082,0.035048,Value,14688,116928
1764627174.589091,0.040531,Range,14688,116928
1764627174.589123,0.067949,Range,14688,116928
1764627174.599074,0.023842,Range,14976,121248
1764627174.599078,0.024796,Value,14976,121248
1764627174.599090,0.031948,Range,14976,121248
1764627174.599099,0.036955,Range,14976,121248
1764627174.599103,0.037670,Value,14976,121248
1764627174.609082,0.023603,Value,14976,122208
1764627174.609086,0.023842,Value,14976,122208
1764627174.609092,0.025034,Range,14976,122208
1764627174.609097,0.025749,Range,14976,122208
1764627174.609112,0.037193,Range,14976,122208
1764627174.619101,0.037193,Range,16032,128352
1764627174.619124,0.054598,Range,16032,128352
1764627174.619128,0.055552,Value,16032,128352
1764627174.619138,0.059843,Range,16032,128352
1764627174.619148,0.065327,Range,16032,128352
1764627174.629093,0.021935,Value,16128,128928
1764627174.629097,0.021458,Value,16128,128928
1764627174.629099,0.020504,Value,16128,128928
1764627174.629122,0.039101,Range,16128,128928
1764627174.629133,0.045776,Range,16128,128928
1764627174.639105,0.021696,Value,16416,129312
1764627174.639113,0.025034,Range,16416,129312
1764627174.639122,0.029087,Range,16416,129312
1764627174.639141,0.044346,Range,16416,129312
1764627174.639149,0.048161,Range,16416,129312
1764627174.649113,0.020504,Value,16800,132288
1764627174.649124,0.025749,Range,16800,132288
1764627174.649148,0.046492,Range,16800,132288
1764627174.649169,0.063181,Range,16800,132288
1764627174.649183,0.073671,Range,16800,132288
1764627174.659130,0.026226,Range,16800,132672
1764627174.659136,0.028610,Value,16800,132672
1764627174.659151,0.039101,Range,16800,132672
1764627174.659154,0.039339,Value,16800,132672
1764627174.659161,0.041246,Range,16800,132672
1764627174.669135,0.020504,Range,17184,135072
1764627174.669138,0.020742,Value,17184,135072
