Timestamp,LatencyMs,Type
1764185886.249067,0.036478,Range
1764185886.249070,0.026226,Value
1764185886.254065,0.066996,Value
1764185886.254069,0.055790,Value
1764185886.254090,0.058413,Range
1764185886.254095,0.052929,Value
1764185886.254097,0.037670,Value
1764185886.259079,0.063181,Range
1764185886.259082,0.053883,Value
1764185886.259090,0.040054,Range
1764185886.259095,0.032902,Range
1764185886.259104,0.031471,Range
1764185886.264102,0.074148,Value
1764185886.264113,0.068188,Range
1764185886.264120,0.050306,Range
1764185886.264123,0.037432,Value
1764185886.264126,0.028610,Value
1764185886.269097,0.051975,Range
1764185886.269101,0.046015,Value
1764185886.269105,0.038862,Range
1764185886.269110,0.030994,Value
1764185886.269114,0.025511,Value
1764185886.274098,0.045538,Range
1764185886.274103,0.036955,Value
1764185886.274110,0.029564,Range
1764185886.274113,0.028372,Value
1764185886.274115,0.024557,Value
1764185886.279112,0.045300,Value
1764185886.279126,0.039816,Range
1764185886.279131,0.036478,Range
1764185886.279136,0.029564,Range
1764185886.279139,0.029325,Value
1764185886.284148,0.063181,Range
1764185886.284153,0.049591,Value
1764185886.284164,0.048876,Range
1764185886.284169,0.046968,Value
1764185886.284178,0.048161,Range
1764185886.289231,0.119686,Value
1764185886.289257,0.105619,Range
1764185886.289263,0.082970,Range
1764185886.289279,0.069618,Range
1764185886.289283,0.058413,Value
1764185886.294184,0.077724,Value
1764185886.294201,0.071764,Range
1764185886.294209,0.046015,Range
1764185886.294212,0.046730,Value
1764185886.294217,0.037909,Value
1764185886.299170,0.049829,Value
1764185886.299181,0.051022,Range
1764185886.299186,0.039577,Value
1764185886.299188,0.035763,Value
1764185886.299192,0.025511,Value
1764185886.304204,0.065088,Range
1764185886.304209,0.062704,Value
1764185886.304211,0.047684,Value
1764185886.304232,0.053883,Range
1764185886.304238,0.042915,Value
1764185886.309241,0.090599,Value
1764185886.309249,0.073910,Range
1764185886.309256,0.053167,Range
1764185886.309264,0.029325,Range
1764185886.309266,0.028372,Value
1764185886.314216,0.060320,Range
1764185886.314223,0.051022,Range
1764185886.314227,0.050068,Value
1764185886.314234,0.035048,Range
1764185886.314240,0.028133,Range
1764185886.319263,0.085592,Range
1764185886.319267,0.077724,Value
1764185886.319269,0.062466,Value
1764185886.319276,0.054598,Range
1764185886.319283,0.034809,Range
1764185886.324291,0.100136,Range
1764185886.324298,0.084400,Range
1764185886.324301,0.068903,Value
1764185886.324308,0.060320,Range
1764185886.324313,0.033617,Range
1764185886.329272,0.076532,Value
1764185886.329276,0.072479,Range
1764185886.329279,0.059128,Value
1764185886.329286,0.038624,Range
1764185886.329293,0.024796,Range
1764185886.334291,0.064850,Range
1764185886.334304,0.060558,Range
1764185886.334311,0.049114,Range
1764185886.334315,0.045300,Value
