Timestamp,LatencyMs,Type,PTreeReleased,PTreeAllocated
1764629329.148780,0.125885,Value,576,2784
1764629329.148836,0.150681,Range,576,2784
1764629329.148873,0.154972,Value,576,2784
1764629329.148901,0.162125,Value,576,2784
1764629329.148914,0.160456,Value,576,2784
1764629329.148919,0.124216,Value,576,2784
1764629329.148926,0.062227,Range,576,2784
1764629329.148931,0.040293,Value,576,2784
1764629329.148935,0.026941,Range,576,2784
1764629329.148939,0.023365,Value,576,2784
1764629329.158749,0.089407,Value,576,2976
1764629329.158786,0.092983,Range,576,2976
1764629329.158792,0.082970,Value,576,2976
1764629329.158795,0.072956,Value,576,2976
1764629329.158799,0.071049,Value,576,2976
1764629329.168716,0.049591,Value,768,5568
1764629329.168727,0.043869,Range,768,5568
1764629329.168732,0.041008,Value,768,5568
1764629329.168735,0.039816,Value,768,5568
1764629329.168738,0.026703,Value,768,5568
1764629329.178815,0.120640,Range,864,7296
1764629329.178824,0.098467,Range,864,7296
1764629329.178828,0.082731,Value,864,7296
1764629329.178834,0.061035,Range,864,7296
1764629329.178839,0.036240,Range,864,7296
1764629329.188851,0.131130,Range,864,8064
1764629329.188859,0.097513,Range,864,8064
1764629329.188865,0.078678,Range,864,8064
1764629329.188869,0.071287,Value,864,8064
1764629329.188877,0.040054,Range,864,8064
1764629329.198817,0.094891,Range,960,9696
1764629329.198846,0.098944,Range,960,9696
1764629329.198854,0.087261,Range,960,9696
1764629329.198859,0.084400,Value,960,9696
1764629329.198869,0.066996,Range,960,9696
1764629329.208856,0.102758,Range,3648,15456
1764629329.208870,0.092030,Range,3648,15456
1764629329.208879,0.084877,Range,3648,15456
1764629329.208888,0.081778,Value,3648,15456
1764629329.208894,0.046253,Range,3648,15456
1764629329.218845,0.113249,Value,4224,17856
1764629329.218853,0.089169,Value,4224,17856
1764629329.218856,0.077963,Value,4224,17856
1764629329.218859,0.061750,Value,4224,17856
1764629329.218863,0.046015,Value,4224,17856
1764629329.228822,0.085354,Value,4224,18624
1764629329.228826,0.079632,Value,4224,18624
1764629329.228828,0.064373,Value,4224,18624
1764629329.228832,0.056744,Value,4224,18624
1764629329.228849,0.038862,Range,4224,18624
1764629329.238906,0.162125,Value,4224,19392
1764629329.238917,0.150919,Value,4224,19392
1764629329.238921,0.144958,Value,4224,19392
1764629329.238942,0.106812,Range,4224,19392
1764629329.238952,0.071764,Range,4224,19392
1764629329.248862,0.089169,Range,4224,20256
1764629329.248868,0.076056,Value,4224,20256
1764629329.248874,0.072002,Value,4224,20256
1764629329.248877,0.066042,Value,4224,20256
1764629329.248893,0.046492,Range,4224,20256
1764629329.258916,0.120401,Range,5280,23904
1764629329.258926,0.114202,Range,5280,23904
1764629329.258931,0.094175,Range,5280,23904
1764629329.258934,0.067711,Range,5280,23904
1764629329.258940,0.055313,Range,5280,23904
1764629329.268836,0.044823,Value,5280,24480
1764629329.268840,0.039339,Value,5280,24480
1764629329.268842,0.035763,Value,5280,24480
1764629329.268845,0.023127,Value,5280,24480
1764629329.268847,0.021935,Value,5280,24480
1764629329.278878,0.071287,Value,6336,30336
1764629329.278885,0.067234,Value,6336,30336
1764629329.278888,0.061035,Value,6336,30336
1764629329.278890,0.054359,Value,6336,30336
1764629329.278912,0.041485,Range,6336,30336
1764629329.288900,0.084877,Range,6816,35136
1764629329.288907,0.072956,Value,6816,35136
1764629329.288914,0.069380,Range,6816,35136
1764629329.288920,0.057936,Range,6816,35136
1764629329.288924,0.052929,Value,6816,35136
1764629329.298925,0.101805,Range,6816,37344
1764629329.298936,0.087976,Value,6816,37344
1764629329.298941,0.071764,Value,6816,37344
1764629329.298944,0.059366,Value,6816,37344
1764629329.298947,0.049591,Value,6816,37344
1764629329.308895,0.055552,Value,7104,43008
1764629329.308902,0.051498,Value,7104,43008
1764629329.308905,0.047684,Value,7104,43008
1764629329.308908,0.030041,Value,7104,43008
1764629329.308911,0.023842,Value,7104,43008
1764629329.319016,0.141144,Value,7200,48672
1764629329.319025,0.127554,Value,7200,48672
1764629329.319097,0.178814,Range,7200,48672
1764629329.319111,0.151157,Range,7200,48672
