Timestamp,LatencyMs,Type
1764186138.078135,0.064850,Value
1764186138.078149,0.069141,Value
1764186138.078175,0.091791,Range
1764186138.078183,0.085831,Value
1764186138.078189,0.088692,Range
1764186138.078198,0.058889,Range
1764186138.078202,0.051498,Range
1764186138.078206,0.029325,Value
1764186138.078209,0.024557,Value
1764186138.078212,0.020504,Value
1764186138.083122,0.035524,Value
1764186138.083128,0.033140,Value
1764186138.083139,0.037909,Range
1764186138.083143,0.036001,Value
1764186138.083147,0.036716,Range
1764186138.088120,0.027418,Range
1764186138.088128,0.030041,Value
1764186138.088132,0.030041,Value
1764186138.088138,0.033379,Range
1764186138.088144,0.036478,Range
1764186138.093127,0.025034,Value
1764186138.093133,0.025749,Value
1764186138.093136,0.025988,Value
1764186138.093146,0.032425,Range
1764186138.093150,0.034094,Value
1764186138.098135,0.024796,Range
1764186138.098140,0.026703,Value
1764186138.098146,0.029325,Range
1764186138.098150,0.030756,Range
1764186138.098154,0.031233,Value
1764186138.103187,0.047207,Value
1764186138.103205,0.051260,Range
1764186138.103209,0.051498,Value
1764186138.103214,0.053167,Value
1764186138.103221,0.055552,Range
1764186138.108177,0.032425,Range
1764186138.108189,0.038862,Range
1764186138.108207,0.052691,Range
1764186138.108213,0.056505,Range
1764186138.108224,0.063419,Range
1764186138.113186,0.028133,Value
1764186138.113198,0.032187,Range
1764186138.113206,0.036240,Range
1764186138.113212,0.039339,Range
1764186138.113216,0.040293,Value
1764186138.118183,0.019550,Range
1764186138.118188,0.021696,Value
1764186138.118192,0.022173,Range
1764186138.118200,0.027418,Range
1764186138.118206,0.030041,Range
1764186138.123191,0.015259,Value
1764186138.123196,0.017166,Value
1764186138.123198,0.017405,Value
1764186138.123201,0.017643,Value
1764186138.123205,0.019073,Range
1764186138.128201,0.016928,Value
1764186138.128203,0.016928,Value
1764186138.128215,0.025511,Range
1764186138.128221,0.029087,Range
1764186138.128226,0.030756,Range
1764186138.133218,0.020504,Range
1764186138.133222,0.020981,Value
1764186138.133224,0.020742,Value
1764186138.133228,0.021935,Range
1764186138.133231,0.022173,Value
1764186138.138234,0.027657,Range
1764186138.138237,0.028372,Value
1764186138.138246,0.033617,Range
1764186138.138250,0.035763,Range
1764186138.138253,0.036478,Value
1764186138.143241,0.021696,Range
1764186138.143245,0.021696,Value
1764186138.143247,0.021458,Value
1764186138.143250,0.021458,Range
1764186138.143259,0.027657,Range
1764186138.148242,0.015736,Range
1764186138.148246,0.016689,Value
1764186138.148248,0.016451,Value
1764186138.148250,0.017166,Value
1764186138.148258,0.022411,Range
1764186138.153279,0.029802,Range
1764186138.153293,0.037432,Range
1764186138.153298,0.039339,Range
1764186138.153304,0.041723,Value
1764186138.153307,0.040770,Value
1764186138.158272,0.018358,Range
1764186138.158279,0.021219,Range
1764186138.158285,0.024796,Range
1764186138.158292,0.029325,Range
1764186138.158301,0.035524,Range
1764186138.163275,0.014067,Value
1764186138.163279,0.012875,Value
1764186138.163281,0.013351,Value
1764186138.163284,0.014067,Value
1764186138.163286,0.014305,Value
1764186138.168310,0.037670,Range
1764186138.168318,0.041723,Value
1764186138.168321,0.041485,Value
1764186138.168324,0.042200,Range
1764186138.168328,0.043869,Value
1764186138.173302,0.018120,Value
1764186138.173305,0.017166,Value
1764186138.173307,0.017166,Value
1764186138.173323,0.030041,Range
1764186138.173331,0.034094,Range
1764186138.178324,0.029802,Range
1764186138.178329,0.031471,Value
1764186138.178334,0.033855,Range
1764186138.178339,0.036716,Range
1764186138.178342,0.037193,Value
1764186138.183331,0.022888,Range
1764186138.183338,0.026703,Range
1764186138.183347,0.032187,Range
1764186138.183352,0.035048,Value
1764186138.183354,0.035524,Value
1764186138.188338,0.019073,Range
1764186138.188342,0.019550,Value
1764186138.188345,0.020027,Range
1764186138.188350,0.022650,Range
1764186138.188354,0.023842,Range
1764186138.193356,0.021219,Range
1764186138.193361,0.022888,Value
1764186138.193364,0.022888,Value
1764186138.193366,0.023365,Value
1764186138.193370,0.024080,Range
1764186138.198370,0.025988,Range
1764186138.198377,0.029564,Range
1764186138.198380,0.030994,Value
1764186138.198398,0.045300,Range
1764186138.198404,0.048876,Value
1764186138.203394,0.031948,Value
1764186138.203411,0.039101,Range
1764186138.203419,0.041008,Range
1764186138.203426,0.042439,Range
1764186138.203429,0.041723,Value
1764186138.208393,0.023365,Value
1764186138.208409,0.032187,Range
1764186138.208413,0.032663,Value
1764186138.208431,0.047207,Range
1764186138.208440,0.052929,Range
1764186138.213392,0.015497,Value
1764186138.213401,0.019073,Range
1764186138.213408,0.023603,Range
1764186138.213412,0.024796,Range
1764186138.213415,0.025511,Value
1764186138.218413,0.023842,Range
1764186138.218421,0.028372,Range
1764186138.218425,0.029087,Value
1764186138.218432,0.033140,Range
1764186138.218441,0.038385,Range
1764186138.223415,0.015736,Value
1764186138.223429,0.025511,Range
1764186138.223434,0.027657,Range
1764186138.223444,0.034094,Range
1764186138.223449,0.037193,Range
1764186138.228423,0.014067,Value
1764186138.228426,0.013590,Value
1764186138.228428,0.013590,Value
1764186138.228437,0.019550,Range
1764186138.228442,0.021935,Range
1764186138.233457,0.032902,Range
1764186138.233461,0.034571,Value
1764186138.233464,0.034094,Value
1764186138.233468,0.036716,Value
1764186138.233470,0.036955,Value
1764186138.238449,0.017643,Value
1764186138.238456,0.020742,Range
1764186138.238459,0.019789,Value
1764186138.238461,0.018597,Value
1764186138.238466,0.020981,Range
1764186138.243457,0.013351,Value
1764186138.243476,0.028372,Range
1764186138.243483,0.032663,Range
1764186138.243487,0.035286,Value
1764186138.243490,0.035524,Value
1764186138.248466,0.014067,Value
1764186138.248484,0.027180,Range
1764186138.248487,0.028133,Value
1764186138.248489,0.028610,Value
1764186138.248497,0.034332,Range
1764186138.253481,0.016928,Value
1764186138.253502,0.034332,Range
1764186138.253506,0.035524,Value
1764186138.253512,0.038624,Range
1764186138.253514,0.038624,Value
1764186138.258487,0.012636,Value
1764186138.258489,0.012398,Value
1764186138.258497,0.017405,Range
1764186138.258500,0.018120,Value
1764186138.258505,0.021219,Range
1764186138.263503,0.018597,Range
1764186138.263507,0.019789,Value
1764186138.263509,0.019312,Value
1764186138.263512,0.019550,Value
1764186138.263518,0.023127,Range
1764186138.268507,0.013113,Value
1764186138.268509,0.012636,Value
1764186138.268511,0.012875,Value
1764186138.268518,0.017643,Range
1764186138.268524,0.020266,Range
1764186138.273518,0.012875,Value
1764186138.273520,0.012159,Value
1764186138.273522,0.011921,Value
1764186138.273524,0.011921,Value
1764186138.273546,0.030756,Range
1764186138.278527,0.013828,Value
1764186138.278529,0.013351,Value
1764186138.278533,0.014544,Range
1764186138.278545,0.023603,Range
1764186138.278553,0.029564,Range
1764186138.283536,0.012398,Value
1764186138.283543,0.015974,Range
1764186138.283546,0.016928,Value
1764186138.283548,0.017643,Value
1764186138.283556,0.021935,Range
1764186138.288550,0.013113,Value
1764186138.288553,0.013113,Value
1764186138.288563,0.020504,Range
1764186138.288568,0.022650,Value
1764186138.288571,0.023603,Value
1764186138.293561,0.015736,Value
1764186138.293564,0.015020,Value
1764186138.293571,0.019073,Range
1764186138.293574,0.019789,Value
1764186138.293578,0.020981,Range
1764186138.298578,0.021935,Value
1764186138.298581,0.022173,Value
1764186138.298584,0.022411,Value
1764186138.298591,0.025034,Range
1764186138.298611,0.040054,Range
1764186138.303581,0.013828,Value
1764186138.303588,0.016212,Range
1764186138.303592,0.018120,Value
1764186138.303594,0.018835,Value
1764186138.303600,0.021935,Range
1764186138.308604,0.025988,Range
1764186138.308609,0.027418,Value
1764186138.308623,0.035763,Range
1764186138.308645,0.055790,Range
1764186138.308652,0.059128,Range
1764186138.313604,0.015020,Value
1764186138.313629,0.036001,Range
1764186138.313632,0.037193,Value
1764186138.313643,0.044584,Range
1764186138.313647,0.045776,Range
1764186138.318611,0.013113,Value
1764186138.318614,0.012636,Value
1764186138.318616,0.013351,Value
1764186138.318624,0.018120,Range
1764186138.318632,0.023127,Range
1764186138.323631,0.020266,Range
1764186138.323641,0.026464,Range
1764186138.323652,0.034332,Range
1764186138.323655,0.035286,Value
1764186138.323665,0.041962,Range
1764186138.328639,0.019789,Range
1764186138.328643,0.020504,Value
1764186138.328650,0.025034,Value
1764186138.328654,0.026941,Range
1764186138.328657,0.028133,Range
1764186138.333646,0.015259,Range
1764186138.333649,0.016212,Value
1764186138.333674,0.038147,Range
1764186138.333678,0.039101,Value
1764186138.333680,0.038862,Value
1764186138.338655,0.015736,Value
1764186138.338670,0.027180,Range
1764186138.338673,0.028372,Value
1764186138.338675,0.028133,Value
1764186138.338683,0.033855,Range
