Timestamp,LatencyMs,Type,PTreeReleased,PTreeAllocated
1764631146.858467,0.078678,Value,2208,4320
1764631146.858482,0.082254,Value,2208,4320
1764631146.858509,0.103712,Range,2208,4320
1764631146.858518,0.100136,Range,2208,4320
1764631146.858524,0.101566,Value,2208,4320
1764631146.858532,0.063181,Range,2208,4320
1764631146.858536,0.052691,Value,2208,4320
1764631146.858539,0.029087,Value,2208,4320
1764631146.858542,0.021935,Value,2208,4320
1764631146.858546,0.020027,Range,2208,4320
1764631146.868451,0.050068,Value,3360,7296
1764631146.868476,0.060558,Range,3360,7296
1764631146.868480,0.056505,Value,3360,7296
1764631146.868486,0.058889,Range,3360,7296
1764631146.868489,0.058174,Value,3360,7296
1764631146.878427,0.022650,Value,3552,8352
1764631146.878436,0.025034,Range,3552,8352
1764631146.878441,0.026464,Value,3552,8352
1764631146.878447,0.030041,Range,3552,8352
1764631146.878453,0.032425,Range,3552,8352
1764631146.888438,0.026226,Value,3936,10080
1764631146.888447,0.030279,Range,3936,10080
1764631146.888453,0.034094,Range,3936,10080
1764631146.888458,0.035286,Value,3936,10080
1764631146.888464,0.038624,Range,3936,10080
1764631146.898461,0.037432,Range,4896,12192
1764631146.898470,0.041008,Value,4896,12192
1764631146.898474,0.041246,Value,4896,12192
1764631146.898476,0.041962,Value,4896,12192
1764631146.898479,0.041246,Value,4896,12192
1764631146.908463,0.029802,Range,5472,15360
1764631146.908469,0.031471,Range,5472,15360
1764631146.908472,0.031710,Value,5472,15360
1764631146.908475,0.028133,Value,5472,15360
1764631146.908478,0.028610,Value,5472,15360
1764631146.918466,0.022173,Range,6240,19008
1764631146.918470,0.023127,Value,6240,19008
1764631146.918473,0.023842,Value,6240,19008
1764631146.918475,0.023603,Value,6240,19008
1764631146.918483,0.026464,Range,6240,19008
1764631146.928478,0.024319,Value,6912,22848
1764631146.928481,0.024796,Value,6912,22848
1764631146.928488,0.027895,Range,6912,22848
1764631146.928494,0.031471,Range,6912,22848
1764631146.928500,0.034094,Range,6912,22848
1764631146.938479,0.015974,Value,7008,23808
1764631146.938488,0.019789,Range,7008,23808
1764631146.938491,0.020027,Value,7008,23808
1764631146.938496,0.022650,Range,7008,23808
1764631146.938499,0.023127,Value,7008,23808
1764631146.948490,0.016451,Value,7008,24288
1764631146.948493,0.015974,Value,7008,24288
1764631146.948495,0.015736,Value,7008,24288
1764631146.948497,0.016451,Value,7008,24288
1764631146.948504,0.020981,Range,7008,24288
1764631146.958499,0.014782,Value,7392,25824
1764631146.958509,0.020981,Range,7392,25824
1764631146.958512,0.021935,Value,7392,25824
1764631146.958517,0.025034,Range,7392,25824
1764631146.958524,0.029564,Range,7392,25824
1764631146.968523,0.026941,Value,7392,26304
1764631146.968528,0.025988,Value,7392,26304
1764631146.968537,0.032187,Range,7392,26304
1764631146.968546,0.037670,Range,7392,26304
1764631146.968552,0.041008,Range,7392,26304
1764631146.978536,0.031233,Range,7680,28992
1764631146.978544,0.035048,Range,7680,28992
1764631146.978553,0.042915,Range,7680,28992
1764631146.978557,0.044584,Value,7680,28992
1764631146.978563,0.043631,Range,7680,28992
1764631146.988554,0.036240,Range,8064,31584
1764631146.988561,0.037909,Value,8064,31584
1764631146.988572,0.044823,Range,8064,31584
1764631146.988579,0.048399,Range,8064,31584
1764631146.988588,0.054359,Range,8064,31584
1764631146.998541,0.015259,Value,8256,32160
1764631146.998545,0.015020,Value,8256,32160
1764631146.998554,0.021696,Range,8256,32160
1764631146.998562,0.026941,Range,8256,32160
1764631146.998569,0.031948,Range,8256,32160
1764631147.008588,0.050545,Range,9024,35328
1764631147.008598,0.055552,Range,9024,35328
1764631147.008606,0.060558,Value,9024,35328
1764631147.008609,0.054359,Value,9024,35328
1764631147.008613,0.041962,Value,9024,35328
1764631147.018569,0.022411,Range,9504,38880
1764631147.018575,0.024796,Value,9504,38880
1764631147.018581,0.028610,Range,9504,38880
1764631147.018592,0.036955,Range,9504,38880
1764631147.018596,0.039339,Value,9504,38880
1764631147.028579,0.022650,Range,9792,40800
1764631147.028586,0.026464,Range,9792,40800
1764631147.028592,0.030518,Range,9792,40800
1764631147.028596,0.031948,Value,9792,40800
1764631147.028600,0.030756,Range,9792,40800
1764631147.038601,0.030518,Value,9792,41280
1764631147.038608,0.029564,Value,9792,41280
1764631147.038627,0.042200,Range,9792,41280
1764631147.038632,0.042200,Value,9792,41280
1764631147.038634,0.042200,Value,9792,41280
1764631147.048604,0.025749,Value,11136,45504
1764631147.048617,0.035048,Range,11136,45504
1764631147.048623,0.036240,Value,11136,45504
1764631147.048630,0.038147,Range,11136,45504
1764631147.048633,0.037909,Value,11136,45504
1764631147.058608,0.017643,Value,11232,47424
1764631147.058611,0.017405,Value,11232,47424
1764631147.058616,0.020266,Range,11232,47424
1764631147.058625,0.026464,Range,11232,47424
1764631147.058633,0.031948,Range,11232,47424
1764631147.068627,0.024319,Value,11808,51648
1764631147.068637,0.030994,Range,11808,51648
1764631147.068647,0.038385,Range,11808,51648
1764631147.068657,0.039816,Range,11808,51648
1764631147.068668,0.046968,Range,11808,51648
1764631147.078659,0.044823,Value,12096,56160
1764631147.078679,0.060081,Range,12096,56160
1764631147.078688,0.064850,Range,12096,56160
1764631147.078691,0.059843,Value,12096,56160
1764631147.078694,0.041008,Value,12096,56160
1764631147.088656,0.031948,Range,12384,59808
1764631147.088661,0.033617,Value,12384,59808
1764631147.088667,0.036478,Range,12384,59808
1764631147.088673,0.040531,Value,12384,59808
1764631147.088676,0.036001,Value,12384,59808
1764631147.098653,0.020027,Range,12384,59904
1764631147.098663,0.026703,Range,12384,59904
1764631147.098675,0.036478,Range,12384,59904
1764631147.098684,0.043154,Range,12384,59904
1764631147.098696,0.053644,Value,12384,59904
1764631147.108658,0.016928,Value,12480,60960
1764631147.108661,0.016928,Value,12480,60960
1764631147.108665,0.018358,Value,12480,60960
1764631147.108675,0.025749,Range,12480,60960
1764631147.108678,0.027418,Value,12480,60960
1764631147.118710,0.052929,Range,12960,64032
1764631147.118720,0.055075,Value,12960,64032
1764631147.118726,0.054598,Range,12960,64032
1764631147.118734,0.059366,Range,12960,64032
1764631147.118744,0.058651,Range,12960,64032
1764631147.128691,0.022888,Value,14304,67200
1764631147.128696,0.023842,Value,14304,67200
1764631147.128700,0.025988,Value,14304,67200
1764631147.128702,0.026941,Value,14304,67200
1764631147.128712,0.034094,Range,14304,67200
1764631147.138705,0.025034,Range,15552,70848
1764631147.138713,0.030041,Range,15552,70848
1764631147.138717,0.031710,Range,15552,70848
1764631147.138721,0.034094,Value,15552,70848
1764631147.138724,0.032187,Value,15552,70848
1764631147.148717,0.024080,Range,16320,74496
1764631147.148725,0.029087,Range,16320,74496
1764631147.148729,0.031233,Value,16320,74496
1764631147.148736,0.035763,Range,16320,74496
1764631147.148745,0.041485,Range,16320,74496
1764631147.158716,0.013590,Value,16320,74976
1764631147.158720,0.013351,Value,16320,74976
1764631147.158732,0.023842,Range,16320,74976
1764631147.158739,0.027418,Range,16320,74976
1764631147.158741,0.028610,Value,16320,74976
1764631147.168742,0.025034,Value,16608,76704
1764631147.168762,0.039577,Range,16608,76704
1764631147.168774,0.047207,Range,16608,76704
1764631147.168779,0.048876,Range,16608,76704
1764631147.168785,0.052214,Value,16608,76704
1764631147.178757,0.029325,Range,17184,80736
1764631147.178762,0.031233,Value,17184,80736
